timestamp	method	category	variable	statistic	p_value	effect_size	finding	so_what	interdisciplinary	score_total	score_rigor	score_effect	score_novelty	score_story	score_action	decision
2026-03-14T15:21:42.037125	independent_ttest	basic	trust	t(81)=-2.514	0.013915	0.552	Human influencers received higher trust scores (Human M=2.71, Virtual M=2.32, d=0.55).	Brands using virtual influencers should invest in trust-building strategies like transparency disclosures and consistent persona development.	HCI: uncanny valley in marketing. Psychology: parasocial relationship formation. Policy: disclosure requirements for AI-generated content.	76	12	20	15	15	14	KEEP
2026-03-14T15:21:42.038918	independent_ttest	basic	purchase_intention	t(81)=-0.924	0.35841	0.203	Purchase intention was not significantly different between groups (Human M=2.57, Virtual M=2.37, d=0.20).	If virtual influencers drive comparable purchase intent, they offer cost-effective, scandal-free alternatives for product promotion.	Marketing: ROI comparison. Economics: labor displacement in influencer industry. Consumer behavior: decision-making with AI endorsers.	50	2	20	5	10	13	KEEP
2026-03-14T15:21:42.040503	independent_ttest	basic	attitude	t(81)=-2.500	0.014446	0.549	Attitudes toward influencers were significantly different (Human M=3.95, Virtual M=3.20, d=0.55).	Attitude differences suggest consumers may need different engagement strategies depending on influencer type.	Psychology: attitude formation toward AI entities. Advertising: creative strategy adaptation. Sociology: anthropomorphism in consumer culture.	54	12	20	5	10	7	KEEP
2026-03-14T15:21:42.042422	mann_whitney_u	basic	trust	U=567.0	0.007357	0.341	Non-parametric test confirms group differences in trust (U=567.0, r=0.34).	Non-parametric validation strengthens (or qualifies) parametric findings, important given the small sample size.	Methodology: robustness checks for small-N experimental designs.	58	16	20	5	10	7	KEEP
2026-03-14T15:21:42.045307	mann_whitney_u	basic	purchase_intention	U=759.5	0.35501	0.118	Non-parametric test for PI: U=759.5, p=0.3550, r=0.12.	Validates whether PI differences hold under distribution-free assumptions.	Consumer research: distribution assumptions in survey-based experiments.	38	2	14	5	10	7	DISCARD
2026-03-14T15:21:42.046450	shapiro_wilk_normality	basic	trust+pi+attitude	trust: W=0.985, p=0.4213, skew=0.17, kurt=-0.09 (normal); pi: W=0.950, p=0.0027, skew=0.01, kurt=-0.84 (non-normal); attitude: W=0.930, p=0.0002, skew=0.06, kurt=-0.23 (non-normal)			Normality assessment: Some DVs deviate from normality. trust: W=0.985, p=0.4213, skew=0.17, kurt=-0.09 (normal); pi: W=0.950, p=0.0027, skew=0.01, kurt=-0.84 (non-normal); attitude: W=0.930, p=0.0002, skew=0.06, kurt=-0.23 (non-normal)	Non-normal distributions justify using non-parametric tests alongside parametric ones.	Methodology: assumption checking for transparent reporting (APA standards).	19	2	2	5	10	0	DISCARD
2026-03-14T15:21:42.052695	chi_square	basic	group_x_gender	chi2(1)=0.502	0.478834	0.078	Gender distribution does not differ significantly between conditions (Cramer's V=0.08), confirming successful randomization.	Equal gender distribution across conditions strengthens causal claims; imbalance would require statistical control.	Experimental design: randomization checks. Gender studies: differential responses to AI vs. human personas.	44	2	14	5	10	13	DISCARD
2026-03-14T15:21:42.054721	chi_square	basic	group_x_age	chi2(1)=1.003	0.316638	0.11	Age distribution is balanced across conditions (Cramer's V=0.11).	Age balance ensures that tech-savviness differences don't confound influencer type effects.	Developmental psychology: generational familiarity with AI/virtual entities.	45	2	14	5	10	14	DISCARD
2026-03-14T15:21:42.500428	two_way_anova	intermediate	trust_by_group_x_gender	F=0.567	0.453647	0.0065	The interaction between influencer type and gender on trust was not significant (F=0.57, p=0.4536, η²=0.007).	Gender-specific responses to virtual influencers could inform targeted marketing campaigns with different influencer types for different demographics.	Gender studies: gendered tech acceptance. Marketing: demographic segmentation. HCI: gender differences in AI trust.	36	2	2	15	10	7	DISCARD
2026-03-14T15:21:42.502709	multiple_regression	intermediate	pi_from_trust_attitude	R²=0.306, F=17.657	0.0	0.306	Trust (β=0.200, p=0.2515) and attitude (β=0.293, p=0.0021) together explain 30.6% of PI variance.	Identifying which psychological lever (trust vs. attitude) more strongly drives purchase intent helps brands prioritize their influencer strategy.	Consumer psychology: dual-process models. Advertising: message strategy. Economics: willingness-to-pay predictors.	75	20	20	5	10	20	KEEP
2026-03-14T15:21:42.505084	mediation_baron_kenny	intermediate	condition_trust_pi	indirect=-0.242, Sobel z=-2.209	0.0272	1.25	Trust significantly mediates the effect of influencer type on PI (indirect=-0.242, z=-2.21, p=0.0272). Path a=-0.397, path b=0.609, c=-0.194, c'=0.048.	If trust mediates the condition→PI link, brands should focus on building trust for virtual influencers rather than just increasing exposure.	Psychology: trust as mechanism. Marketing: customer journey modeling. Policy: should disclosures target trust or awareness?	61	12	20	5	10	14	KEEP
2026-03-14T15:21:42.507932	moderation_regression	intermediate	trust_by_group_x_familiarity	interaction β=0.203, t=1.384	0.170437	0.1	VI familiarity does not significantly moderate the effect of condition on trust (β=0.203, p=0.1704). R²=0.100.	If familiarity buffers trust deficits, educating consumers about virtual influencers could be a viable strategy for brands.	Psychology: mere exposure effect. Technology adoption: TAM model. Education: digital literacy as moderator of AI attitudes.	45	2	14	5	10	14	DISCARD
2026-03-14T15:21:42.518762	manova	intermediate	trust+pi+attitude_by_group	Pillai's trace=0.088, F=2.536	0.062639	0.088	MANOVA did not reveal a significant multivariate effect of influencer type on the combined DVs (Pillai's=0.088, F=2.54, p=0.0626).	A multivariate effect confirms that influencer type impacts the constellation of consumer responses, not just isolated metrics.	Research methods: multivariate approaches. Marketing: holistic consumer response profiles. Psychology: integrated attitude systems.	42	6	14	5	10	7	DISCARD
