StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q36,Q36_11_TEXT,Q41,Q38,Q35_First Click,Q35_Last Click,Q35_Page Submit,Q35_Click Count,Q17,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q36,Q16_1,Q43_1,Q42_1,Q41_1,Q17_1,Q18_1,Q19_1,Q20_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Q32_1,Q33_1,Q22_1,Q23_1,Q24_1,Q25_1,Q19_1,Q20,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your gender identity?,Please select your age group.,Which of the following best describes your current occupation status? - Selected Choice,Which of the following best describes your current occupation status? - Others (please specify below): _________ - Text,What is the highest level of education you have completed?,"How frequently do you use social media platforms such as Twitter, Instagram, TikTok, Facebook, etc.?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Keep in mind that this is a virtual influencer while answering the following questions. 
Please confirm that you understand.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the product featured in the advertising you just saw?,"Please rate your overall agreement towards the following statement: 

I would not hesitate to take into account the product suggestions by the influencer. - 1","Please rate your overall agreement towards the following statement: 

I would feel secure in following the suggestions about the product shown in this Instagram post. - 1","Please rate your overall agreement towards the following statement: 

I would rely on the product recommendations made by this influencer. - 1","Please rate your overall agreement towards the following statement: 

I intend to buy the advertised product. - 1",Click to write the question text,"Please rate your overall agreement towards the following statement: 

I am likely to purchase the advertised product.","Please rate your overall agreement towards the following statement: 

I have high purchase interest in the advertised product.","Please rate your overall agreement towards the following statement: 

I will probably buy the advertised product.","Please rate your overall agreement towards the following statement: 

This influencer is genuine.","Please rate your overall agreement towards the following statement: 

This influencer seems real to me.","Please rate your overall agreement towards the following statement: 

This influencer is authentic. - 1","Please rate your overall agreement towards the following statement: 

I am confident in this influencer. - 1","Please rate your overall agreement towards the following statement: 

This influencer provides security. - 1","Please rate your overall agreement towards the following statement: 

This influencer has integrity. - 1","Please rate your overall agreement towards the following statement: 

This influencer is reliable.","Please rate your overall agreement towards the following statement: 

I can trust this influencer.",Please rate your overall attitude toward this influencer on the following scales: - 1,Please rate your overall attitude toward this influencer on the following scales: - 1,Please rate your overall attitude toward this influencer on the following scales: - 1,Please rate your overall attitude toward this influencer on the following scales: - 1,How familiar are you with virtual influencers? - 1,Have you ever followed at least one virtual influencer on social media?,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_11_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID63""}","{""ImportId"":""QID59_FIRST_CLICK""}","{""ImportId"":""QID59_LAST_CLICK""}","{""ImportId"":""QID59_PAGE_SUBMIT""}","{""ImportId"":""QID59_CLICK_COUNT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID58_FIRST_CLICK""}","{""ImportId"":""QID58_LAST_CLICK""}","{""ImportId"":""QID58_PAGE_SUBMIT""}","{""ImportId"":""QID58_CLICK_COUNT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26""}","{""ImportId"":""Q_DataPolicyViolations""}"
2025-10-28 18:19:17,2025-10-28 18:23:10,IP Address,172.103.87.33,100,232,True,2025-10-28 18:23:11,R_1aPaRABL8Hfa2fD,,,,,30.2095,-97.7972,anonymous,EN,Female,18-28,"Technology (e.g., software developer, IT support)",,Master’s degree,Every day,,,,,,0,0,32.681,0,Skin Care,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neutral,Not familiar at all,No,
2025-10-29 13:54:27,2025-10-29 13:55:10,IP Address,64.39.194.33,100,42,True,2025-10-29 13:55:10,R_5mTrdekaR8YLLX3,,,,,37.5175,-96.9977,anonymous,EN,Male,Over 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 13:55:59,2025-10-29 13:56:18,IP Address,64.39.194.33,100,18,True,2025-10-29 13:56:18,R_3pDSgwfecKAnwsQ,,,,,37.5175,-96.9977,anonymous,EN,Male,Over 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 13:54:38,2025-10-29 13:58:39,IP Address,99.58.60.105,100,240,True,2025-10-29 13:58:39,R_5V0pn0yWOpUOWm5,,,,,30.1826,-97.7394,anonymous,EN,Female,29-44,"Business (e.g., marketing, finance, management)",,Bachelor’s degree,Every day,,,,,,27.281,27.281,28.716,1,Skin Care,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Not familiar at all,No,
2025-10-29 13:58:16,2025-10-29 13:58:49,IP Address,64.39.194.33,100,33,True,2025-10-29 13:58:49,R_6eqKANnwr8IoysI,,,,,37.5175,-96.9977,anonymous,EN,Male,Over 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 13:55:02,2025-10-29 14:00:39,IP Address,107.127.0.136,100,336,True,2025-10-29 14:00:39,R_6JOZWY4rcxsrANi,,,,,32.7797,-96.8022,anonymous,EN,Female,29-44,Others (please specify below): _________,I work in an educational nonprofit at the Boys and Girls Club,Bachelor’s degree,Every day,29.494,29.92,30.636,2,Yes,,,,,Skin Care,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Bad,Unfavourable,Dislike,Negative,Not familiar at all,No,
2025-10-29 14:00:37,2025-10-29 14:01:15,IP Address,104.59.204.44,100,37,True,2025-10-29 14:01:15,R_6ZXSpBJUarvvsFr,,,,,30.2881,-97.764,anonymous,EN,Female,Over 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 13:58:22,2025-10-29 14:04:30,IP Address,70.168.118.105,100,368,True,2025-10-29 14:04:31,R_70OAUBUZ29RFNVs,,,,,37.6678,-97.36,anonymous,EN,Female,18-28,"Business (e.g., marketing, finance, management)",,Associate’s degree or technical diploma,Every day,,,,,,66.435,67.89,69.196,4,Skin Care,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Not familiar at all,No,
